Group,Name,Language,SourceID,Level1 Id,Level2 Id,Level3 Id,Level4 Id,Analyzed [y/n],Text,ref Code,KW Ids,Keywords,Judicial Topic Ids,Juditial Topics,Index Ids,Index Terms,,Refference,
,,Latin,56,28,5,3,1,n,"Servus alienus vel totus vel pro parte sine libertate heres institui 
potest.",005600280005000300010000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 28, 5, 3, 1",005600280005000300010000,#VALUE!
,,Latin,56,28,5,3,2,n," Si servum meum pure heredem scripsero, sub condicione liberum, differtur 
institutio in id tempus, quo libertas data est.",005600280005000300020000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 28, 5, 3, 2",005600280005000300020000,#VALUE!
,,Latin,56,28,5,3,3,n,"Si quis ita scripserit: ""si Titius heres erit, Seius heres esto: Titius 
heres esto"", quasi quaevis condicio exspectatur Titii aditio, ut Seius 
heres fiat: et sane et Iuliano et Tertulliano hoc videtur.",005600280005000300030000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 28, 5, 3, 3",005600280005000300030000,#VALUE!
,,Latin,56,28,5,3,4,n,"Qui fideicommissam libertatem sub condicione accepit, potest ab herede 
pure cum libertate heres institui et non exspectata condicione libertatem 
et hereditatem consequitur et erit interim necessarius: et existente 
condicione voluntarius heres efficietur, ut non desinat heres esse, sed 
ut ius in eo mutetur successionis.",005600280005000300040000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 28, 5, 3, 4",005600280005000300040000,#VALUE!
,,Latin,56,28,5,3,5,n,"Aperturae tabularum dilatio necessarii heredis ius non mutat, ut solemus 
in substituto impuberis dicere: nam est relatum, si se adrogandum dederit 
substitutus impuberi defuncti filius, necessarium eum fore.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600280005000300050000,#VALUE!
,,Latin,56,28,5,4,1,n,"Suus quoque heres sub condicione heres potest institui: sed excipiendus 
est filius, quia non sub omni condicione institui potest. et quidem sub 
ea condicione, quae est in potestate ipsius, potest: de hoc enim inter 
omnes constat. sed utrum ita demum institutio effectum habeat, si 
paruerit condicioni, an et si non paruerit et decessit? Iulianus putat 
filium sub eiusmodi condicione institutum etiam, si condicioni non 
paruerit, summotum esse, et ideo si coheredem habeat ita institutus, non 
debere eum exspectare, donec condicioni pareat filius, cum et si patrem 
intestatum faceret non parendo condicioni, procul dubio exspectare 
deberet. quae sententia probabilis mihi videtur, ut sub ea condicione 
institutus, quae in arbitrio eius sit, patrem intestatum non faciat.
",005600280005000400010000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 28, 5, 4, 1",005600280005000400010000,#VALUE!
,,Latin,56,28,5,4,2,n,"Puto recte generaliter definiri: utrum in potestate fuerit condicio an 
non fuerit, facti potestas est: potest enim et haec ""si Alexandriam 
pervenerit"" non esse in arbitrio per hiemis condicionem: potest et esse, 
si ei, qui a primo miliario Alexandriae agit, fuit imposita: potest et 
haec ""si decem Titio dederit"" esse in difficili, si Titius peregrinetur 
longinquo itinere: propter quae ad generalem definitionem recurrendum 
est.",005600280005000400020000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 28, 5, 4, 2",005600280005000400020000,#VALUE!
,,Latin,56,28,5,4,3,n,"Sed et si filio sub condicione, quae in eius potestate est, herede 
instituto nepos sit substitutus sive extraneus, puto vivo filio non 
exstaturum heredem substitutum, post mortem vero exstaturum, nec 
necessariam a substituto filii exheredationem, cum et, si fuerit facta, 
frustra est: post mortem enim filii facta est, quam inutilem esse alias 
ostendimus: opinamur igitur filium, si sit institutus sub ea condicione 
et sit in eius potestate, non indigere exheredatione a sequentibus 
gradibus: alioquin et a coherede indigebit.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600280005000400030000,#VALUE!
,,Latin,56,28,5,5,1,n," Si eiusmodi sit condicio, sub qua filius heres institutus sit, ut ultimo 
vitae eius tempore certum sit eam existere non posse et pendente ea 
decedat, intestato patri heres erit, veluti ""si Alexandriam pervenerit, 
heres esto"": quod si etiam novissimo tempore impleri potest, veluti ""si 
decem Titio dederit, heres esto"", contra puto.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600280005000500010000,#VALUE!
,,Latin,56,28,5,6,1,n,"Sed si condicioni dies sit adiectus, ut puta: ""si Capitolium intra dies 
triginta ascenderit"", tantundem potest dici: ut, si non paruerit 
condicioni, substitutus possit admitti filio repulso, consequens est 
sententiae Iuliani et nostrae.
",005600280005000600010000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 28, 5, 6, 1",005600280005000600010000,#VALUE!
,,Latin,56,28,5,6,2,n,"Nepotes autem et deinceps ceteri, qui ex lege Vellea ^Vellaea^ instituti 
non rumpunt testamenta, sub omni condicione institui possunt, etsi 
redigantur ad filii condicionem.",005600280005000600020000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 28, 5, 6, 2",005600280005000600020000,#VALUE!
,,Latin,56,28,5,6,3,n,"Solemus dicere media tempora non nocere, ut puta civis Romanus heres 
scriptus vivo testatore factus peregrinus mox civitatem Romanam pervenit: 
media tempora non nocent. servus alienus sub condicione heres scriptus 
traditus est servus hereditario, mox usucaptus ab extraneo: non est 
vitiata institutio.
",005600280005000600030000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 28, 5, 6, 3",005600280005000600030000,#VALUE!
,,Latin,56,28,5,6,4,n,"Si servum communem cum libertate dominus heredem scripserit et eum 
redemerit, necessarius efficietur. sed si substitutus sit impuberi et 
partem redemerit impubes, necessarius non efficietur, ut Iulianus 
scribit.",005600280005000600040000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 28, 5, 6, 4",005600280005000600040000,#VALUE!
,,Latin,56,28,5,6,5,n,"Sed si sit cum libertate institutus, an ei libertatis datio codicillis 
adimi possit, apud Iulianum quaeritur. et putat in eum casum, quo 
necessarius fieret, ademptionem non valere, ne a semet ipso ei adimatur 
libertas: servus enim heres institutus a semet ipso libertatem accipit. 
quae sententia habet rationem: nam sicuti legari sibi non potest, ita nec 
a se adimi.
",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600280005000600050000,#VALUE!
,,Latin,56,28,5,7,1,n,"Si servus communis sub condicione heres institutus vivo testatore 
libertatem consecutus sit, etiam pendente condicione testamentariae 
libertatis adire hereditatem potest.",005600280005000700010000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 28, 5, 7, 1",005600280005000700010000,#VALUE!
,,Latin,56,28,5,7,2,n," Item sive testator eum alienaverit sive heres post mortem testatoris, 
iussu domini hereditatem adibit.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600280005000700020000,#VALUE!
,,Latin,56,28,5,8,1,n,"Duo socii quendam servum communem testamento facto heredem et liberum 
esse iusserant: ruina simul oppressi perierant. plerique responderunt hoc 
casu duobus orcinum heredem existere, et id est verius.",005600280005000800010000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 28, 5, 8, 1",005600280005000800010000,#VALUE!
,,Latin,56,28,5,8,2,n,"Sed et si sub eadem condicione servum communem uterque socius liberum 
heredemque esse iussisset eaque exstitisset, idem iuris erit.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600280005000800020000,#VALUE!
,,Latin,56,29,3,1,1,n,"Omnibus, quicumque desiderant tabulas testamenti inspicere vel etiam 
describere, inspiciendi describendique potestatem facturum se praetor 
pollicetur: quod vel suo vel alieno nomine desideranti tribuere eum 
manifestum est.",005600290003000100010000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 29, 3, 1, 1",005600290003000100010000,#VALUE!
,,Latin,56,29,3,1,2,n,"Ratio autem huius edicti manifesta est: neque enim sine iudice transigi 
neque apud iudicem exquiri veritas de his controversiis, quae ex 
testamento proficiscerentur, aliter potest quam inspectis cognitisque 
verbis testamenti.",005600290003000100020000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 29, 3, 1, 2",005600290003000100020000,#VALUE!
,,Latin,56,29,3,1,3,n,"Si quis neget sigillum suum agnoscere, non ideo quidem minus aperiuntur 
tabulae, sed alias suspectae fiunt.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600290003000100030000,#VALUE!
,,Latin,56,29,3,2,1,n,"Tabularum testamenti instrumentum non est unius hominis, hoc est 
heredis, sed universorum, quibus quid illic adscriptum est: quin potius 
publicum est instrumentum.",005600290003000200010000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 29, 3, 2, 1",005600290003000200010000,#VALUE!
,,Latin,56,29,3,2,2,n," Testamentum autem proprie illud dicitur, quod iure perfectum est: sed 
abusive testamenta ea quoque appellamus, quae falsa sunt vel iniusta vel 
irrita vel rupta: itemque inperfecta solemus testamenta dicere.",005600290003000200020000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 29, 3, 2, 2",005600290003000200020000,#VALUE!
,,Latin,56,29,3,2,3,n," Ad causam autem testamenti pertinere videtur id quodcumque quasi ad 
testamentum factum sit, in quacumque materia fuerit scriptum, quod 
contineat supremam voluntatem: et tam principales quam secundae tabulae 
edicto continentur.
",005600290003000200030000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 29, 3, 2, 3",005600290003000200030000,#VALUE!
,,Latin,56,29,3,2,4,n,"Si plura sint testamenta, quae quis exhiberi desideret, universorum ei 
facultas facienda est.
",005600290003000200040000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 29, 3, 2, 4",005600290003000200040000,#VALUE!
,,Latin,56,29,3,2,5,n,"Si dubitetur, utrum vivat an decesserit is, cuius quis quod ad causam 
testamenti pertinet inspici describique postulat, dicendum est praetorem 
causa cognita statuere id debere, ut, si liquerit eum vivere, non 
permittat.
Inspici tabulas est, ut ipsam scripturam quis inspiciat et sigilla et 
quid aliud ex tabulis velit spectare.",005600290003000200050000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 29, 3, 2, 5",005600290003000200050000,#VALUE!
,,Latin,56,29,3,2,6,n," Inspectio tabularum etiam lectionem earum indicat.",005600290003000200060000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 29, 3, 2, 6",005600290003000200060000,#VALUE!
,,Latin,56,29,3,2,7,n,"Diem autem et consulem tabularum non patitur praetor describi vel  inspici idcirco, ne quid falsi fiat: namque etiam inspectio materiam  falso fabricando instruere potest.",005600290003000200070000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 29, 3, 2, 7",005600290003000200070000,#VALUE!
,,Latin,56,29,3,2,8,n," Utrum autem in continenti potestatem inspiciendi vel describendi iubet  an desideranti tempus dabit ad exhibitionem? et magis est, ut dari debeat  secundum locorum angustias seu prolixitates.",005600290003000200080000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 29, 3, 2, 8",005600290003000200080000,#VALUE!
,,Latin,56,29,3,2,9,n," Si quis non negans apud se tabulas esse non patiatur inspici et  describi, omnimodo ad hoc compelletur: si tamen neget penes se tabulas  esse, dicendum est ad interdictum rem mitti quod est de tabulis  exhibendis.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600290003000200090000,#VALUE!
,,Latin,56,29,3,3,1,n,"Ipsi tamen heredi vindicatio tabularum sicut ceterarum hereditariarum  rerum competit et ob id ad exhibendum quoque agere potest.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600290003000300010000,#VALUE!
,,Latin,56,29,3,4,1,n," Cum ab initio aperiendae sint tabulae, praetoris id officium est, ut  cogat signatores convenire et sigilla sua recognoscere",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600290003000400010000,#VALUE!
,,Latin,56,29,3,5,1,n,"vel negare se signasse: publice enim expedit suprema hominum iudicia  exitum habere.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600290003000500010000,#VALUE!
,,Latin,56,29,3,6,1,n," Sed si maior pars signatorum fuerit inventa, poterit ipsis  intervenientibus resignari testamentum et recitari.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600290003000600010000,#VALUE!
,,Latin,56,29,3,7,1,n,"Sed si quis ex signatoribus aberit, mitti debent tabulae testamenti ubi  ipse sit, uti agnoscat: nam revocari eum adgnoscendi causa onerosum est.  quippe saepe cum magna captione a rebus nostris revocamur et sit iniquum  damnosum cuique esse officium suum. nec ad rem pertinet, unus absit an  omnes. et si forte omnibus absentibus causa aliqua aperire tabulas  urgueat, debet proconsul curare, ut intervenientibus optimae opinionis  viris aperiantur et post descriptum et recognitum factum ab isdem, quibus  intervenientibus apertae sunt, obsignentur, tunc deinde eo mittantur, ubi  ipsi signatores sint, ad inspicienda sigilla sua.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600290003000700010000,#VALUE!
,,Latin,56,29,3,8,1,n," Pupillares tabulas, etiamsi non fuerit superscriptum ne aperirentur,  attamen, si seorsum eas signatas testator reliquerit, praetor eas aperiri  nisi causa cognita non patietur.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600290003000800010000,#VALUE!
,,Latin,56,29,3,9,1,n,"Si mulier ventris nomine in possessione sit, aperiendae sunt secundae  tabulae, ut sciatur, cui demandata sit curatio.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600290003000900010000,#VALUE!
,,Latin,56,29,3,10,1,n,"Si in duobus exemplariis scriptum sit testamentum, alterutro patefacto  apertae tabulae sunt.",005600290003001000010000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 29, 3, 10, 1",005600290003001000010000,#VALUE!
,,Latin,56,29,3,10,2,n," Si sui natura tabulae patefactae sunt, apertum videri testamentum non  dubitatur: non enim quaeremus, a quo aperiantur.",005600290003001000020000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 29, 3, 10, 2",005600290003001000020000,#VALUE!
,,Latin,56,29,3,10,3,n," Si tabulae non compareant vel exustae sint, futurum est, ut subvenire  legatariis debeat. idem est, si subpressae vel occultae sint.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600290003001000030000,#VALUE!
,,Latin,56,29,3,11,1,n," Sicut codicilli pars intelleguntur testamenti, ita secundae tabulae  principalium tabularum partem optinere videntur.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600290003001100010000,#VALUE!
,,Latin,56,29,3,12,1,n,"Si quis fecerit testamentum et exemplum eius, exemplo quidem aperto  nondum apertum est testamentum: quod si authenticum patefactum est totum,  apertum.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600290003001200010000,#VALUE!
,,Latin,56,39,6,1,1,n,"Mortis causa donatio est, cum quis habere se vult quam eum cui donat  magisque eum cui donat quam heredem suum.",005600390006000100010000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 39, 6, 1, 1",005600390006000100010000,#VALUE!
,,Latin,56,39,6,1,2,n," Sic et apud Homerum Telemachus donat Piraeo.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600390006000100020000,#VALUE!
,,Latin,56,39,6,2,1,n,"Iulianus libro septimo decimo digestorum tres esse species mortis causa  donationum ait, unam, cum quis nullo praesentis periculi metu  conterritus, sed sola cogitatione mortalitatis donat. aliam esse speciem  mortis causa donationum ait, cum quis imminente periculo commotus ita  donat, ut statim fiat accipientis. tertium genus esse donationis ait, si  quis periculo motus non sic det, ut statim faciat accipientis, sed tunc  demum, cum mors fuerit insecuta. ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600390006000200010000,#VALUE!
,,Latin,56,39,6,3,1,n,"Mortis causa donare licet non tantum infirmae valetudinis causa, sed  periculi etiam propinquae mortis vel ab hoste vel a praedonibus vel ab  hominis potentis crudelitate aut odio aut navigationis ineundae:",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600390006000300010000,#VALUE!
,,Latin,56,39,6,4,1,n,aut per insidiosa loca iturus.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600390006000400010000,#VALUE!
,,Latin,56,39,6,5,1,n,Aut aetate fessus:,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600390006000500010000,#VALUE!
,,Latin,56,39,6,6,1,n,haec enim omnia instans periculum demonstrant.,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600390006000600010000,#VALUE!
,,Latin,56,39,6,7,1,n," Si aliquis mortis causa donaverit et poena fuerit capitis affectus,  removetur donatio ut inperfecta, quamvis ceterae donationes sine  suspicione poenae factae valeant.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600390006000700010000,#VALUE!
,,Latin,56,39,6,8,1,n,"Qui pretio accepto hereditatem praetermisit, sive ad substitutum  perventura sit hereditas, sive ab eo ab intestato successurus, mortis  causa capere videtur: nam quidquid propter alicuius mortem obvenit,  mortis causa capitur: quam sententiam et Iulianus probat et hoc iure  utimur. nam et quod a statulibero condicionis implendae causa capitur vel  a legatario, mortis causa accipitur: et quod pater dedit propter mortem  filii vel cognati, mortis causa capi Iulianus scripsit.",005600390006000800010000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 39, 6, 8, 1",005600390006000800010000,#VALUE!
,,Latin,56,39,6,8,2,n," Denique et sic posse donari aut, ut, si convaluerit, recipiatur.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600390006000800020000,#VALUE!
,,Latin,56,39,6,9,1,n,"Omnibus mortis causa capere permittitur, qui scilicet et legata accipere  possunt.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600390006000900010000,#VALUE!
,,Latin,56,39,6,10,1,n,"Ei, cui mortis causa donatum est, posse substitui constat in hunc modum,  ut promittat alicui, si ipse capere non possit, vel sub alia condicione.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600390006001000010000,#VALUE!
,,Latin,56,39,6,11,1,n,"Mortis causa filii sui pater recte donare poterit etiam constante  matrimonio filii.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600390006001100010000,#VALUE!
,,Latin,56,39,6,12,1,n,"Si mulier, ventris nomine per calumniam ut in possessionem mitti  desideret, pecuniam accepit, forte dum substituto patrocinatur, ut  institutum aliqua ratione excludat, mortis causa eam capere Iulianus  saepius scribit.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600390006001200010000,#VALUE!
,,Latin,56,39,6,13,1,n,"Si alienam rem mortis causa donavero eaque usucapta fuerit, verus  dominus eam condicere non potest, sed ego, si convaluero.",005600390006001300010000,NULL,NULL,NULL,NULL,NULL,NULL,"Dig. 39, 6, 13, 1",005600390006001300010000,#VALUE!
,,Latin,56,39,6,13,2,n,"Si alienam rem mortis causa donavero eaque usucapta fuerit, verus  dominus eam condicere non potest, sed ego, si convaluero.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005600390006001300020000,#VALUE!
,Codex,Latin,58,6,28,1,1,n,"Sev./Ant. AA. Fabio. cum post omnes heredum gradus  exheredatio scribatur, si adiciat testator ab omnibus se gradibus  exheredare, non dubitatur iuri satisfactum. et ideo, etiamsi id non  adiciatur, appareat tamen eum cum eo consilio scripsisse, ut ab omnibus  exheredaret, recte factum testamentum videtur. <a. 204 pp. VI k. Iul.  Cilone et Libone conss.>",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005800060028000100010000,#VALUE!
,,Latin,58,6,28,1,2,n,"Sev./Ant.  Proinde cum pater familias filiis institutis et invicem substitutis  filiam exheredaverit, intellegendus est exheredationem ab utroque gradu  fecisse. nam cum idem heredes instituti sunt, nulla ratio reddi potest,  quare videatur in posteriore tantum casu exheredare voluisse. ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005800060028000100020000,#VALUE!
,,Latin,58,6,28,2,1,n,"Alex. A. Heraclidae.  Si avus tuus, qui patrem tuum et novercam aequis portionibus heredes  instituit, cum te quoque haberet in potestate, testamento nominatim non  exheredavit, mortuo patre tuo vivo avo sine impedimento legis Vellaeae  succedendo in patris tui locum rupisti avi testamentum et ad te hereditas  eius tota pertinuit. <a. 225 pp. VI id. April. Fusco II et Dextro conss.>",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005800060028000200010000,#VALUE!
,,Latin,58,6,28,3,1,n,"Iust. A. Iuliano pp.  Si quis filium proprium ita exheredaverit:"" ille filius meus alienus  meae substantiae fiat"", talis filius ab huiusmodi verborum conceptione  non praeteritus, sed exheredatus intellegatur. cum enim manifestissimus  est sensus testatoris, verborum interpretatio nusquam tantum valeat, ut  melior sensu existat. <a. 531 D. x k. Mart. Constantinopoli post  consulatum Lampadii et Orestis vv. CC.>",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005800060028000300010000,#VALUE!
,,Latin,58,6,28,4,1,n,"Iust. A. Iohanni pp.  Maximum vitium antiquae subtilitatis praesenti lege corrigimus, quae  putavit alia esse iura observanda in successione parentum, si ex  testamento veniant, in masculis et in feminis, cum ab intestato simile  ius utrique sexui servaverunt, et aliis verbis exheredari debere filium  sanxerunt, aliis filiam, et inter nepotes exheredandos alia iura civilia,  alia praetoris introduxerunt. <a. 531 D. k. sept Constantinopoli post  consulatum Lampadii et Orestis vv. CC.>",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005800060028000400010000,#VALUE!
,,Latin,58,6,28,4,2,n,"Iust.  Et si praeteritus fuerat filius, vel ipso iure testamentum evertebat vel  contra tabulas bonorum possessionem in totum accipiebat, filia autem  praeterita ius adcrescendi ex iure vetere accipiebat, ut eodem momento et  testamentum patris quodammodo ex parte iure adcrescendi evertat et ipsa  quasi scripta legatis supponeretur, ex praetore autem habebat contra  tabulas bonorum possessionem in totum, constitutio autem magni Antonini  eam in tantum coartabat, in quantum ius adcrescendi competebat. qui enim  tales differentias inducunt, quasi naturae accusatores existunt, cur non  totos masculos generavit, ut, unde generentur, non fiant.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005800060028000400020000,#VALUE!
,,Latin,58,6,28,4,3,n,"Iust.  Nam haec corrigentes et maiorum nostrorum sequimur vestigia, qui eandem  observationem colere manifestissimi sunt. scimus etenim antea simili modo  et filium et alios omnes inter ceteros exheredatos scribere esse  concessum, cum etiam centumviri aliam differentiam introduxerunt.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005800060028000400030000,#VALUE!
,,Latin,58,6,28,4,4,n,"Iust.  Et ex hac iniquitate vitium emersit, quale ex libris Ulpiani, quos ad  edictum fecit praetoris, inventum a Triboniano viro gloriosissimo nostro  quaestore ceterisque viris facundissimis compositoribus iuris enucleati  ad nostras aures relatum est.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005800060028000400040000,#VALUE!
,,Latin,58,6,28,4,5,n,"Iust.  Nam cum ultimum adiutorium de inofficiosi querella positum est et nemo  ex alio ortus praesidio ad hanc decurrere possit, inventa fuerat filia  praeterita minus habens quam filia exheredata. cum enim per contra  tabulas bonorum possessionem vel ius adcrescendi semissem substantiae  filia praeterita accipiebat et omnibus legata praestare compellebatur,  scilicet usque ad dodrantem suae portionis, remanebat ei sescuncia  tantummodo in sua successione. ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005800060028000400050000,#VALUE!
,,Latin,58,6,28,4,6,n,"Iust.  Quod si fuisset exheredata, quarta pars omnimodo totius substantiae ei  relinqui debebat, et quam iniuria dignam pater existimabat, amplius  habebat ea, quam taciturnitate in institutione praeteriit: et si secundum  nostrae constitutionis definitionem, quam de supplemento quadrantis  posuimus, repletio fuerat introducta, simili modo exheredatae in quarta  repletio accedebat et ita vitium permansit, ut nec ex nostra  constitutione emendationem aliquam sentiret. ",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005800060028000400060000,#VALUE!
,,Latin,58,6,28,4,7,n,"Iust.  Sancimus itaque, quemadmodum in successionibus parentium, quae ab  intestato deferuntur, aequa lance et mares et feminae vocantur, ita et in  scriptura testamentorum eas honorari et similibus verbis exheredationes  nominatim procedere et contra tabulas possessionem talem habere, qualem  filius suus vel emancipatus, ut et ipsa, si fuerit praeterita, ad instar  filii emancipati vel sui vel testamentum ipso iure evertat vel per contra  tabulas bonorum possessionem stare hoc non patiatur.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005800060028000400070000,#VALUE!
,,Latin,58,6,28,4,8,n,"Iust.  Et haec non solum in filiabus obtinere, sed etiam in nepotibus et in  neptibus et deinceps observari censemus, si tamen ex masculis progeniti  sunt.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005800060028000400080000,#VALUE!
,,Latin,58,6,28,4,9,n,"Sed quia et aliud vitium fuerat sub obtentu differentiae introductum et  alia iura exheredationis in postumis, alia in iam natis observabantur,  cum necesse fuerat postumam inter ceteros exheredatam etiam legato  honorari, filiam autem iam progenitam et sine datione, et hoc brevissimo  incremento verborum ad plenissimam definitionem deduximus sancientes  eadem iura obtinere et in postumis exheredandis, sive masculini sive  feminini sexus sint, quae in filiis et filiabus iam statuimus, ut etiam  ipsi vel ipsae nominatim exheredentur, id est postumi vel postumae facta  mentione.",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,005800060028000400090000,#VALUE!
,Latin Inscription,Latin,73,7,,,,y,"Ti(berius) Cl(audius) Ti(beri) f(ilius) Pop(lilia tribu) Fatalis | Roma (centurio) leg(ionis) II Aug(ustae), leg(ionis) XX | Vic(tricis), leg(ionis) II Aug(ustae), leg(ionis) XI C(laudiae) p(iae) f(idelis), | leg(ionis) XIV G(eminae) M(artiae) V(ictricis), leg(ionis) XII Ful(minatae), | leg(ionis) X Fr(etensis), III (= tertius) hast(atus) vix(it) an(nos) | XLII, mil(itavit) ann(os) XXIII. Cl(audia) | Ionice lib(erta) et heres ob me|rita eius. O(ssa) t(ibi) b(ene) q(uiescant). T(erra) t(ibi) l(evis) s(it).",007300000700000000000000,178,heir,"29, 105","Testaments, Freed Persons","50, 410","heres, libertus",Lat. Insc. 7,007300000700000000000000,
