Group,Name,Language,SourceID,Level1 Id,Level2 Id,Level3 Id,Level4 Id,Analyzed [y/n],Text,ref Code,KW Ids,Keywords,Judicial Topic Ids,Juditial Topics,Index Ids,Index Terms,,Refference,
,,Hebrew,3,33,7,6,,y,"כיצד נוטל פי שנים, ירשו שטרי חוב, הבכור נוטל פי שנים. יצאו עליו שטרי חוב, נותן פי שנים, ואם אמ' אי איפשי שלא ליטול ושלא ליתן, הרשות בידו.",000300330007000600000000,"87, 224, 233, 235, 236","debt document, firstborn, double portion, disclaimer of inheritance, repudiatio hereditatis","6, 104","Inheritance, Firstborn Inheritance Rights","61, 333, 578, 580","בכור, שטר חוב, פי שנים, אי אפשי",Tosefta Bava Batra 7:6,000300330007000600000000,
,,Hebrew,3,33,7,7,,y,"כיצד אין נוטל בראוי כבמוחזק, מת אביו בחיי אביו נוטל פי שנים מנכסי אביו, ואין נוטל פי שנים מנכסי אבי אביו. ואם היה אביו בכור, אף הוא נוטל פי שנים מנכסי אבי אביו.",000300330007000700000000,"224, 233, 237, 238, 239","firstborn, double portion, prospective estate, actual possession, generational rights","6, 104","Inheritance, Firstborn Inheritance Rights","575, 578, 581, 582","מוחזק, פי שנים, ראוי, נכסי אבי אביו",Tosefta Bava Batra 7:7,000300330007000700000000,
,,Hebrew,3,33,7,8,,y,"בנות צלפחד נטלו שלשה חלקין בנחלה, חלק אביהן שהיה מיוצאי מצרים. ר' ליעזר בן יעקב או' אף חלק אחי אביהן, לפי שלא ניתנה הארץ אלא ליוצאי מצרים, ולא נתחלקה אלא לעומדים בערבות מואב, ירש השבט את שבטו וחזר השבט וירש את הראוי לו.",000300330007000800000000,"173, 233","Inheritance priority, double portion","6, 31, 104","Inheritance, Women Inheritance rights, Firstborn Inheritance Rights","60, 635, 637","נחלה, בנות צלפחד, יוצאי מצרים",Tosefta Bava Batra 7:8,000300330007000800000000,
,,Hebrew,3,33,7,9,,y,"כיצד, שני אחין שהיו מיוצאי מצרים, לאחד יש לו תשעה בנים ולאחד יש לו בן אחד, ולפניהם בית חמשת כורין, תשעה נטלו בית לתך לתך, ואחד נטל בית לתך, החזירום לאבתיהם, חזרו אבות והורישו את הבנים, תשעה נטלו מחצה, ואחד נטל מחצה. ר' שמעון בן לעזר אומ' אף נתחלקה הארץ ליוצאי מצרים, כיצד, היה מן היוצאין ממצרים ומן העומדין בערבות מואב נוטל שני חלקין, מיוצאי מצרים ולא מן העומדין בערבות מואב, ולא מיוצאי מצרים נוטל חלק אחד. המתלוננים, והמרגלים, ועדתו של קרח, לא נטלו חלק בארץ, אבל הבנים ירשו בזכות אבות אבותיהן, ובזכות אמות אמותיהן. וכן היה ר' שמעון בן לעזר או' יהושע וכלב נטלו שלשה חלקים בנחלה, שהן מיוצאי מצרים, ומן העומדים בערבות מואב, ושנטלו חלקן של מרגלים.",000300330007000900000000,"173, 261, 262","Inheritance priority, tribal division, disputed lineage",6,Inheritance,"60, 64, 637, 638, 640, 642","נחלה, ירושה, יוצאי מצרים, מתלוננים, עדת קרח, מרגלים",Tosefta Bava Batra 7:9,000300330007000900000000,
,,Hebrew,3,33,7,10,,y,"וחלק של מרגלים נטלו יהושע וכלב, חלק המלוננים ועדתו של קרח נפל לאמצע, והבנים נחלו לעצמן. וכשם שהבן קודם את הבת בנכסי האב, כך קודם הבן את הבת בנכסי האם. ר' אלעזר בר' יוסי או' משם ר' זכריה בן הקצב, וכן היה ר' שמעון בן יהודה איש כפר איבוס או' משום ר' שמעון, אחד הבן ואחד הבת שוין בנכסי האם. האו' יחלקו בני נכסיי, והיה שם בכור, אם זכו בנכסים בחיי האב אין נוטל פי שנים, ואם לאו, נוטל פי שנים.",000300330007001000000000,"173, 262","Inheritance priority, disputed lineage","6, 31","Inheritance, Women Inheritance rights","349, 350","נכסי האב, נכסי האם",Tosefta Bava Batra 7:10,000300330007001000000000,
,,Hebrew,3,33,7,11,,y,"האומ' תנו מאתים דינר לפלני בני בכור כראוי לו, נוטל, ונוטל פי שנים. בבכורתו, ידו על העליונה, רצה נוטלן ורצה נוטל פי שנים.",000300330007001100000000,"191, 224, 233, 290, 291, 292","deathbed gift, firstborn, double portion, inter vivos transfer, vesting of rights, Primogeniture","6, 104","Inheritance, Firstborn Inheritance Rights","61, 578, 683","בכור, פי שנים, בחיי האב",Tosefta Bava Batra 7:11,000300330007001100000000,
,,Hebrew,3,33,7,12,,y,"האומ' תנו שדה פלנית לפלני' אשתי בראוי לה, נוטלתה, ונוטלת כתובתה. בכתובתה, ידה על העליונה, רוצה נוטלתה, רוצה נוטלת כתובתה.",000300330007001200000000,"191, 233, 279, 292, 302, 303","deathbed gift, double portion, cumulative legacy, Primogeniture, Testamentary Interpretation, severability of legacy","37, 38, 104","Deeds of Gift as Wills, Legacies, Firstborn Inheritance Rights","61, 578, 683, 684, 685","בכור, פי שנים, בחיי האב, כראוי לו, ידו על העליונה",Tosefta Bava Batra 7:12,000300330007001200000000,
,,Hebrew,3,33,7,13,,y,"האומר תנו מאתים דינר לפל' בעל חובי בחובו, בראוי לו, נוטלו, ונוטל עוד מאתים דינר. בחובו, אין לו אלא חובו.",000300330007001300000000,"101, 191, 279, 301, 302, 303","marriage contract, deathbed gift, cumulative legacy, election of rights, Testamentary Interpretation, severability of legacy",38,Legacies,"80, 684, 685","כתובה, כראוי לו, ידו על העליונה",Tosefta Bava Batra 7:13,000300330007001300000000,
,,Hebrew,3,33,7,14,,y,"היתה לו שדה עשויה הפותיקי לאשה בכתובתה, ולבעל חוב בחובו, ואמ' תנו שדה פלנית לפל' אשתי בכתובתה, ולפל' בעל חובי בחובו, נתקבלו, וידן על העליונה.",000300330007001400000000,"191, 195, 279, 302, 304","deathbed gift, creditor, cumulative legacy, Testamentary Interpretation, debt","38, 74","Legacies, Loan and Pledge","81, 684","בעל חוב, כראוי לו",Tosefta Bava Batra 7:14,000300330007001400000000,
,,Hebrew,3,33,7,15,,y,"האומ' תנו חלק לפל' בנכסי יירש עם הבנים. בבכורה אין נוטל פי שנים. האומ' יירשני פל' לא אמ' כלום. תנו נכסיי לפל', דבריו קיימין.",000300330007001500000000,"101, 325, 326","marriage contract, Secured Debt, Creditor Priority","81, 119","Real security, Debts and Obligations","80, 81, 666, 685","כתובה, בעל חוב, אפותיקי, ידו על העליונה",Tosefta Bava Batra 7:15,000300330007001500000000,
